RIC	Year	ESG Score	Environmental Pillar Score	Social Pillar Score	Governance Pillar Score
1COV.DE	12/31/2015	52.44994215	58.93181287	47.27886179	49.76074558
1COV.DE	12/31/2016	66.40156532	70.25422296	68.00431533	56.87943262
1COV.DE	12/31/2017	68.92980708	68.5188051	74.68608474	59.90221785
1COV.DE	12/31/2018	73.81273346	72.90604674	74.88865943	73.59144989
1COV.DE	12/31/2019	74.88870359	69.74853631	72.42356247	88.14671046
1COV.DE	12/31/2020	76.32960333	74.07848625	70.39162615	90.36814926
1COV.DE	12/31/2021	75.82485143	75.30081329	72.189525	82.91051083
1COV.	12/31/2022	81.24769221	82.50352674	73.7288222	91.76935871
1COV.DE	12/31/2023	71.4575025	63.99739649	70.488781	86.27846791
1U1.DE	12/31/2017	24.55020667	46.34944526	24.33128266	8.276521359
1U1.DE	12/31/2018	39.09142473	49.20545841	39.53502319	30.4476709
1U1.DE	12/31/2019	34.88469637	39.25456901	37.76029209	25.76729372
.DE	12/31/2020	42.2837683	45.01251043	46.55546662	31.62460436
1U1.DE	12/31/2021	57.49020034	43.29616639	69.81604552	43.65212577
1U1.DE	12/31/2022	68.1036515	49.75833055	74.67773081	68.98371625
8TRA.DE	Tuesday, December 31, 2019	25.62498945	31.99037548	26.39936394	16.97123519
8TRA.DE	12/31/2020	30.28771511	29.52954813	25.30222295	37.73404964
8TRA.DE	12/31/2021	44.36130463	37.25069202	51.09328672	44.06766326
8TRA.DE	12/31/2022	44.75378085	39.07101305	47.41300567	48.08656301
ADSGn.DE	12/31/2010	87.24126893	87.35043253	87.46547382	86.75735294
ADSGn.DE	12/31/2011	90.90880751	91.33173844	94.04680338	84.83565891
ADSGn.DE	12/31/2012	92.27802895	90.05182152	93.70059715	91.05620915
ADSGn.DE	12/31/2013	90.93349033	91.60270468	94.74411912	83.4599913
ADSGn.DE	12/31/2014	86.71518248	88.36390218	90.44667443	78.76773325
ADSGn.DE	12/31/2015	93.50407631	90.00313283	97.96364608	87.47113646
